"CL"|Yes|"64605938"|"120672597"
"CL"|Yes|"64605937"|"120672596"
"CL"|Yes|"64605936"|"120672595"
"CL"|Yes|"64605935"|"120672594"
"CH"|Yes|"64605930"|"120672585"
"MH"|No |"64605930"|"120672586"
"ML"|No |"64605930"|"120672587"
"CL"|Yes|"64605929"|"120672584"
"MH"|No |"64605929"|"120672582"
"ML"|No |"64605929"|"120672583"
"CH"|Yes|"64605934"|"120672593"
"CL"|No |"64605934"|"120672592"
"CH"|Yes|"64605933"|"120672591"
"CL"|No |"64605933"|"120672590"
"CH"|Yes|"64605932"|"120672589"
"CH"|Yes|"64605931"|"120672588"
"CL"|Yes|"64605928"|"120672581"
"CL"|Yes|"64605927"|"120672580"
"CH"|No |"64605926"|"120672579"
"CL"|Yes|"64605926"|"120672578"
"CL"|Yes|"64605925"|"120672577"
"CL"|Yes|"64605924"|"120672576"
"CH"|Yes|"64605921"|"120672573"
"CH"|Yes|"64605923"|"120672575"
"CH"|Yes|"64605922"|"120672574"
"CH"|Yes|"64605920"|"120672572"
"CH"|Yes|"64605884"|"120672521"
"MH"|No |"64605884"|"120672522"
"CH"|Yes|"64605883"|"120672520"
"CH"|Yes|"64605882"|"120672518"
"CL"|No |"64605882"|"120672519"
"CH"|Yes|"64605886"|"120672524"
"CH"|Yes|"64605885"|"120672523"
"CH"|No |"64605881"|"120672516"
"CL"|Yes|"64605881"|"120672517"
"CH"|No |"64605878"|"120672510"
"CL"|Yes|"64605878"|"120672511"
"CH"|No |"64605877"|"120672509"
"CL"|Yes|"64605877"|"120672508"
"CH"|Yes|"64605880"|"120672515"
"CL"|No |"64605880"|"120672514"
"CH"|Yes|"64605879"|"120672512"
"CL"|No |"64605879"|"120672513"
"CL"|Yes|"64605872"|"120672502"
"CL"|Yes|"64605876"|"120672507"
"CH"|No |"64605875"|"120672506"
"CL"|Yes|"64605875"|"120672505"
"CL"|Yes|"64605874"|"120672504"
"CL"|Yes|"64605873"|"120672503"
"CL"|Yes|"64605871"|"120672501"
"CL"|Yes|"64605870"|"120672500"
"CL"|Yes|"64605869"|"120672499"
"CL"|Yes|"64605868"|"120672498"
"CH"|Yes|"64605865"|"120672495"
"CH"|Yes|"64605867"|"120672497"
"CH"|Yes|"64605866"|"120672496"
"CH"|Yes|"64605864"|"120672494"
"CL"|Yes|"64606430"|"120673198"
"CL"|Yes|"64606431"|"120673199"
"CL"|Yes|"64606429"|"120673197"
"CH"|Yes|"64606428"|"120673196"
"CL"|Yes|"64606425"|"120673193"
"CL"|Yes|"64606426"|"120673194"
"CL"|Yes|"64606424"|"120673192"
"CL"|Yes|"64606423"|"120673191"
"CL"|Yes|"64606427"|"120673195"
"CL"|Yes|"64606420"|"120673188"
"CL"|Yes|"64606422"|"120673190"
"CL"|Yes|"64606421"|"120673189"
"CL"|Yes|"64606419"|"120673187"
"CL"|Yes|"64606416"|"120673184"
"CL"|Yes|"64606415"|"120673183"
"CL"|Yes|"64606418"|"120673186"
"CL"|Yes|"64606417"|"120673185"
"CL"|Yes|"64605808"|"120672422"
"CL"|Yes|"64605807"|"120672421"
"CL"|Yes|"64605806"|"120672420"
"CL"|Yes|"64605809"|"120672423"
"CL"|Yes|"64605803"|"120672415"
"CH"|No |"64605805"|"120672419"
"CL"|Yes|"64605805"|"120672418"
"CH"|Yes|"64605802"|"120672414"
"CH"|No |"64605804"|"120672416"
"CL"|Yes|"64605804"|"120672417"
"CL"|Yes|"64605801"|"120672413"
"CL"|Yes|"64605800"|"120672412"
"CL"|Yes|"64605799"|"120672411"
"CL"|Yes|"64605798"|"120672410"
"CL"|Yes|"64605797"|"120672409"
"CL"|Yes|"64605796"|"120672408"
"CH"|No |"64605795"|"120672407"
"CL"|Yes|"64605795"|"120672406"
"CL"|Yes|"64605794"|"120672405"
"CL"|Yes|"64605793"|"120672404"
"CH"|No |"64605740"|"120672333"
"CL"|Yes|"64605740"|"120672332"
"CH"|Yes|"64605739"|"120672331"
"CL"|No |"64605739"|"120672330"
"CH"|Yes|"64605738"|"120672329"
"CH"|Yes|"64605737"|"120672328"
"CH"|Yes|"64605736"|"120672327"
"CH"|Yes|"64605733"|"120672322"
"CL"|No |"64605733"|"120672323"
"CH"|Yes|"64605732"|"120672320"
"CL"|No |"64605732"|"120672321"
"CH"|No |"64605730"|"120672317"
"CL"|Yes|"64605730"|"120672316"
"CH"|No |"64605731"|"120672319"
"CL"|Yes|"64605731"|"120672318"
"CL"|Yes|"64605735"|"120672326"
"CH"|No |"64605734"|"120672324"
"CL"|Yes|"64605734"|"120672325"
"CH"|Yes|"64605729"|"120672314"
"CL"|No |"64605729"|"120672315"
"CH"|Yes|"64605728"|"120672312"
"CL"|No |"64605728"|"120672313"
"CH"|Yes|"64605725"|"120672307"
"MH"|No |"64605725"|"120672308"
"ML"|No |"64605725"|"120672309"
"CL"|Yes|"64605724"|"120672304"
"MH"|No |"64605724"|"120672305"
"ML"|No |"64605724"|"120672306"
"CH"|Yes|"64605727"|"120672311"
"CH"|Yes|"64605726"|"120672310"
"CL"|Yes|"64605723"|"120672303"
"CH"|No |"64605722"|"120672301"
"CL"|Yes|"64605722"|"120672302"
"CH"|Yes|"64605721"|"120672300"
"CH"|No |"64605720"|"120672299"
"CL"|Yes|"64605720"|"120672298"
"CL"|Yes|"64605719"|"120672297"
"CL"|Yes|"64605718"|"120672296"
"CL"|Yes|"64605717"|"120672295"
"CL"|Yes|"64605716"|"120672294"
"CL"|Yes|"64605715"|"120672293"
"CL"|Yes|"64605714"|"120672292"
"CL"|Yes|"64605696"|"120672269"
"CL"|Yes|"64605695"|"120672268"
"CL"|Yes|"64605694"|"120672267"
"CL"|Yes|"64605693"|"120672266"
"CL"|Yes|"64605692"|"120672265"
"CL"|Yes|"64605691"|"120672264"
"CL"|Yes|"64605690"|"120672263"
"CH"|No |"64605689"|"120672262"
"CL"|Yes|"64605689"|"120672261"
"CH"|Yes|"64605688"|"120672259"
"CL"|No |"64605688"|"120672260"
"CH"|Yes|"64605686"|"120672256"
"CL"|No |"64605686"|"120672257"
"CH"|Yes|"64605685"|"120672254"
"CL"|No |"64605685"|"120672255"
"CH"|Yes|"64605687"|"120672258"
"CL"|Yes|"64605684"|"120672253"
"CH"|No |"64605681"|"120672249"
"CL"|Yes|"64605681"|"120672248"
"CH"|No |"64605683"|"120672251"
"CL"|Yes|"64605683"|"120672252"
"CH"|Yes|"64605682"|"120672250"
"CL"|Yes|"64605680"|"120672247"
"CH"|No |"64605679"|"120672245"
"CL"|Yes|"64605679"|"120672246"
"CH"|No |"64605676"|"120672240"
"CL"|Yes|"64605676"|"120672239"
"CH"|No |"64605675"|"120672238"
"CL"|Yes|"64605675"|"120672237"
"CL"|Yes|"64605674"|"120672236"
"CH"|Yes|"64605678"|"120672243"
"CL"|No |"64605678"|"120672244"
"CH"|Yes|"64605677"|"120672241"
"CL"|No |"64605677"|"120672242"
"CH"|No |"64605672"|"120672234"
"CL"|Yes|"64605672"|"120672233"
"CH"|Yes|"64605671"|"120672232"
"CL"|No |"64605671"|"120672231"
"CH"|Yes|"64605670"|"120672230"
"CH"|Yes|"64605669"|"120672229"
"CH"|Yes|"64605673"|"120672235"
"CH"|Yes|"64605664"|"120672221"
"MH"|No |"64605664"|"120672222"
"ML"|No |"64605664"|"120672220"
"CH"|Yes|"64605668"|"120672227"
"CL"|No |"64605668"|"120672228"
"CH"|Yes|"64605667"|"120672226"
"CL"|No |"64605667"|"120672225"
"CH"|Yes|"64605666"|"120672224"
"CH"|Yes|"64605665"|"120672223"
"CL"|Yes|"64605663"|"120672217"
"MH"|No |"64605663"|"120672218"
"ML"|No |"64605663"|"120672219"
