"Mollic epipedon"|0|0|0|50|71|112||71||"21905232"|"12237906"
"Argillic horizon"|28|41|50|98|109|120||68||"21905232"|"12237907"
"Argillic horizon"|12|28|33|110|170|190||142||"21905233"|"12237908"
"Mollic epipedon"|0|0|0|50|76|100||76||"21905233"|"12237909"
"Secondary carbonates"|50|76|100|60|104|110||28||"21905233"|"12237910"
"Argillic horizon"|36|40|48|76|95|110||55||"21905234"|"12237911"
"Mollic epipedon"|0|0|0|61|72|84||72||"21905234"|"12237912"
"Mollic epipedon"|0|0|0|94|116|138||116||"21905235"|"12237913"
"Argillic horizon"|25|30|35|94|116|138||86||"21905235"|"12237914"
"Mollic epipedon"|0|0|0|45|50|65||50||"21905236"|"12237915"
"Argillic horizon"|27|36|45|80|102|120||66||"21905236"|"12237916"
"Mollic epipedon"|0|0|0|30|38|46||38||"21905237"|"12237917"
"Argillic horizon"|30|38|46|110|118|126||80||"21905237"|"12237918"
"Mollic epipedon"|0|0|0|30|38|46||38||"21905242"|"12237925"
"Argillic horizon"|30|38|46|110|118|126||80||"21905242"|"12237926"
"Mollic epipedon"|0|0|0|94|116|138||116||"21905243"|"12237927"
"Argillic horizon"|25|30|35|94|116|138||86||"21905243"|"12237928"
"Mollic epipedon"|0|0|0|50|71|112||71||"21905244"|"12237929"
"Argillic horizon"|28|41|50|98|109|120||68||"21905244"|"12237930"
"Mollic epipedon"|0|0|0|25|30|36||30||"21905245"|"12237931"
"Argillic horizon"|25|30|36|71|89|105||59||"21905245"|"12237932"
"Argillic horizon"|12|28|33|110|170|190||142||"21905246"|"12237933"
"Mollic epipedon"|0|0|0|50|76|100||76||"21905246"|"12237934"
"Secondary carbonates"|50|76|100|60|104|110||28||"21905246"|"12237935"
"Mollic epipedon"|0|0|0|61|99|122||99||"21905258"|"12237967"
"Argillic horizon"|25|36|50|112|142|180||106||"21905258"|"12237968"
"Mollic epipedon"|0|0|0|61|97|130||97||"21905259"|"12237969"
"Free carbonates"|0|0|0|200|200|200||200||"21905259"|"12237970"
"Mollic epipedon"|0|0|0|94|116|138||116||"21905260"|"12237971"
"Argillic horizon"|25|30|35|94|116|138||86||"21905260"|"12237972"
"Mollic epipedon"|0|0|0|102|137|152||137||"21905261"|"12237973"
"Mollic epipedon"|0|0|0|61|89|122||89||"21905387"|"12238299"
"Free carbonates"|38|61|100|200|200|200||139||"21905387"|"12238300"
"Mollic epipedon"|0|0|0|61|97|130||97||"21905388"|"12238301"
"Free carbonates"|0|0|0|200|200|200||200||"21905388"|"12238302"
"Mollic epipedon"|0|0|0|61|99|122||99||"21905389"|"12238303"
"Argillic horizon"|25|36|50|112|142|180||106||"21905389"|"12238304"
"Free carbonates"|112|142|180|200|200|200||58||"21905389"|"12238305"
"Mollic epipedon"|0|0|0|94|116|138||116||"21905390"|"12238306"
"Argillic horizon"|25|30|35|94|116|138||86||"21905390"|"12238307"
"Aquic conditions"|25|30|35|200|200|200||170||"21905390"|"12238308"
"Redox concentrations"|25|30|35|200|200|200||170||"21905390"|"12238309"
"Redox depletions with chroma 2 or less"|25|30|35|200|200|200||170||"21905390"|"12238310"
"Mollic epipedon"|0|0|0|81|112|152||112||"21905274"|"12238003"
"Cambic horizon"|81|112|152|200|200|200||88||"21905274"|"12238004"
"Slickensides"|33|45|66|200|200|200||155||"21905274"|"12238005"
"Aquic conditions"|13|18|25|200|200|200||182||"21905274"|"12238006"
"Mollic epipedon"|0|0|0|61|97|130||97||"21905275"|"12238007"
"Free carbonates"|0|0|0|200|200|200||200||"21905275"|"12238008"
"Mollic epipedon"|0|0|0|61|99|122||99||"21905276"|"12238009"
"Argillic horizon"|25|36|50|112|142|180||106||"21905276"|"12238010"
"Mollic epipedon"|0|0|0|91|135|150||135||"21905277"|"12238011"
"Argillic horizon"|30|46|61|91|135|150||89||"21905277"|"12238012"
"Redox concentrations"|30|46|61|200|200|200||154||"21905277"|"12238013"
"Argillic horizon"|19|36|45|120|142|180||106||"21905278"|"12238014"
"Mollic epipedon"|0|0|0|61|75|91||75||"21905278"|"12238015"
"Redox concentrations"|19|36|45|200|200|200||164||"21905278"|"12238016"
"Mollic epipedon"|0|0|0|81|112|152||112||"21905286"|"12238031"
"Cambic horizon"|81|112|152|200|200|200||88||"21905286"|"12238032"
"Slickensides"|33|45|66|200|200|200||155||"21905286"|"12238033"
"Aquic conditions"|13|18|25|200|200|200||182||"21905286"|"12238034"
"Mollic epipedon"|0|0|0|61|99|122||99||"21905287"|"12238035"
"Argillic horizon"|25|36|50|112|142|180||106||"21905287"|"12238036"
"Mollic epipedon"|0|0|0|50|71|112||71||"21905288"|"12238037"
"Argillic horizon"|28|41|50|98|109|120||68||"21905288"|"12238038"
"Mollic epipedon"|0|0|0|61|97|130||97||"21905289"|"12238039"
"Free carbonates"|0|0|0|200|200|200||200||"21905289"|"12238040"
