"Ap"||"A"|||0|0|0|18|25|36||25||0|0|0|0|0|0|82|95|100|71|92|100|68|92|100|65|90|100|1|5|8|0|0.1|1|0|0.1|1|0|0.1|1|0.1|0.2|2|0.1|4.5|7|53|61|70||32|||29||28|34|39|0|0|0|2|3|4||||0.95|0.96|1.3||||1.05|1.06|1.4|2.65|1.41|2.7|4.23|0.18|0.2|0.21||||24.3|29.2|31.9|10.9|15.1|18.2|40|56|58|3|3.1|6|42|49|57|19|24|28|10|23|33|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0.3|2|23.1|27.9|32||||20.3|25.9|31.1|5.6|6.5|7.3|5.6|6.1|7.3|||||||3.2|6.3|9.6|||||||||||||||||||||"21905232"|"64605663"
"Bt1"||"B"||1|28|41|50|50|71|112||30||0|0|0|0|0|0|75|94|99|59|90|98|55|90|98|53|89|98|1|2|6|0|0.1|1|0|0.1|1|0|0.2|1|0.1|0.3|2|0.1|1.3|5|38|50|59||22|||28||40|48|60|0|0|0|1|1.5|3||||1.3|1.4|1.55||||1.67|1.77|1.84|2.65|0.42|0.91|1.41|0.1|0.14|0.15||||22.7|31.8|36.9|16.7|26.1|35.2|29|42|48|6|7.7|9|51|60|74|29|35|44|11|34|51|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0.3|2|31|37.1|46.6||||25.5|34.9|54.6|5.6|6.7|7.8|5.6|6.3|7.8|||||||2.4|6.2|10.8|||||||||||||||||||||"21905232"|"64605665"
"Bt2"||"B"||2|50|71|112|98|109|120||38||0|0|0|0|0|0|75|94|99|59|90|98|55|90|98|53|88|98|1|3|6|0|0.2|1|0|0.1|1|0|0.2|1|0.1|0.4|2|0.1|2.1|5|38|50|59||23|||27||40|47|60|0|0|0|0.5|0.8|1||||1.3|1.45|1.55||||1.66|1.81|1.91|2.65|0.42|0.91|1.41|0.09|0.14|0.15||||22.4|31.2|36.1|16.2|25.1|33.5|29|41|48|6|7.3|9|50|58|70|29|34|44|11|32|50|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0.4|2|30.2|35.5|44.6||||25.7|33.2|52.6|5.6|6.7|7.8|5.6|6.3|7.8|||||||2.1|5.8|9.9|||||||||||||||||||||"21905232"|"64605666"
"BC"||"BC"|||98|109|120|102|130|155||21||0|0|0|0|0|0|78|95|99|64|92|98|60|91|98|58|90|98|1|3|9|0|0.5|1|0|0.3|1|0|0.2|1|0.1|0.4|2|0.1|1.6|7|41|55|64||33|||22||35|42|55|0|0|0|0.2|0.6|1||||1.4|1.45|1.6||||1.7|1.75|1.9|2.65|0.42|0.91|1.41|0.09|0.16|0.19||||22.2|30.1|34.9|14.8|22.6|30.8|29|41|44|6|6.2|9|46|52|66|25|30|40|11|29|45|".37"|".37"|0|0|2|0|0|0|0|0|0|0|0.4|2|25.8|31.7|41.3||||24.4|33.2|80.3|6.6|7.5|8.4|6.6|7.2|8.4|||||||0|3.1|6.8|||||||||||||||||||||"21905232"|"64605667"
"C"||"C"|||102|130|155|200|200|200||70||0|0|0|0|0|0|78|95|99|64|92|98|60|91|98|57|89|98|2|5|9|0|0.6|1|0|0.4|1|0|0.2|1|0.1|0.5|2|0.1|3.3|7|42|55|63||26|||29||35|40|55|0|0|0|0.2|0.5|1||||1.4|1.45|1.6||||1.69|1.74|1.9|2.65|0.42|0.91|1.41|0.09|0.16|0.19||||22.2|29.5|34.9|14.8|21.4|30.8|29|41|44|6|6|9|46|50|66|25|29|40|11|27|45|".37"|".37"|0|0|2|0|0|0|0|0|0|0|0.4|2|25.8|30.2|41.3||||24.3|31.7|80.3|6.6|7.5|8.4|6.6|7.2|8.4|||||||0|2.9|6.8|||||||||||||||||||||"21905232"|"64605668"
"BA"||"BA"|||18|25|36|28|41|50||16||0|0|0|0|0|0|78|92|100|63|87|100|60|87|100|58|85|100|1|4|8|0|0.1|1|0|0.1|1|0|0.1|1|0.1|0.3|2|0.1|3.4|7|53|60|69||27|||33||28|36|39|0|0|0|2|2.5|4||||0.95|0.98|1.3||||1.06|1.09|1.41|2.65|1.41|2.7|4.23|0.17|0.19|0.21||||23.1|29|32.1|10.4|15.4|18.6|38|54|58|3|3.4|6|42|50|57|19|25|28|8|23|33|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0.3|2|23.1|29.2|32||||20.2|27|31.2|5.6|6.5|7.3|5.6|6.2|7.3|||||||3.2|6.3|9.6|||||||||||||||||||||"21905232"|"64605664"
"Bt"||"B"|||12|28|33|50|76|100||48||0|0|0|0|0|0|100|100|100|100|100|100|93|99|100|87|96|100|2|5|18|0|0.4|1.5|0|0.3|3.4|0|1.2|4.1|0|1.2|2.4|0.6|1.9|6.6|32|50|58||21|||29||40|45|60|0|0|0|1|1|3||||1.3|1.35|1.5||||1.62|1.67|1.87|2.65|0.01|0.22|0.42|0.1|0.15|0.16||||30.9|32.3|37.1|22.5|25.1|35.1|41|46|48|6|7.4|9|52|57|76|29|33|44|27|36|53|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0.1|2|31|34.5|46.6||||30|33|45|5.6|7.2|7.8|5.6|7|7.8|||||||2.4|4.4|10.8|||||||||||||||||||||"21905233"|"64605673"
"Btk"||"B"|||50|76|100|60|104|110||28||0|0|0|0|0|0|100|100|100|100|100|100|93|99|100|87|96|100|2|6|18|0|0.3|1.3|0|0.6|1.1|0|0.1|1.2|0.1|2.2|2.4|1|2.8|4.2|38|54|58||25|||29||40|40|55|0|0|3|0.5|0.9|2||||1.3|1.35|1.5||||1.63|1.68|1.88|2.65|0.01|0.22|0.42|0.11|0.16|0.16||||30.6|30.8|35.4|21.9|22.3|31.4|41|46|48|6|6.3|9|51|51|67|29|29|39|26|30|46|".37"|".37"|3|5|10|0|0|0|0|0|0|0|0.1|2|30.2|30.9|40.3||||29|38|53|6.6|7.8|8.4|6.6|7.5|8.4|||||||0.5|2.3|7.1|||||||||||||||||||||"21905233"|"64605669"
"2Bt"|2|"B"|||60|104|110|70|170|190||66||0|0|0|0|0|0|100|100|100|100|100|100|93|99|100|87|96|100|2|6|18|0|0.3|1.4|0|0.6|2.5|0|1|2.9|0.1|1.2|1.7|0|2.9|8.5|34|52|58||22|||30||40|42|60|0|0|0|0.5|0.7|2||||1.3|1.35|1.5||||1.59|1.64|1.87|2.65|0.01|0.22|0.42|0.1|0.16|0.16||||30.6|31.3|36.6|21.9|23.2|34|41|46|48|6|6.6|9|51|53|74|29|30|44|26|32|52|".37"|".37"|0|0|3|0|0|0|0|0|0|0|0.1|2|30.2|31.9|45.9||||29|31|45|6.1|7.9|8.4|6.1|7.6|8.4|||||||0.5|2.1|9.1|||||||||||||||||||||"21905233"|"64605670"
"2C"|2|"C"|||70|170|190|200|200|200||30||0|0|0|0|0|1|98|99|100|96|97|100|88|96|100|82|94|100|2|5|18|0|0.6|1.1|0|0.3|2|0|0.4|2.9|0.1|1.3|2|0.2|2.4|3.6|34|52|63||23|||29||35|43|55|0|0|0|0.2|0.5|1||||1.3|1.35|1.5||||1.59|1.64|1.8|2.65|0.01|0.22|0.42|0.11|0.15|0.2||||28.1|31|35|18.4|23.1|30.4|40|46|48|6|6.6|9|45|53|67|25|31|40|20|32|47|".37"|".37"|0|0|3|0|0|0|0|0|0|0|0.1|2|25.8|32.2|41.3||||24|31|40|6.6|8|8.4|6.6|7.7|8.4|||||||0|1.8|6.8|||||||||||||||||||||"21905233"|"64605671"
