"mixed"|"21905232"|"17242910"
"mixed"|"21905233"|"17242911"
"smectitic"|"21905234"|"17242912"
"not used"|"21905235"|"17242913"
"smectitic"|"21905236"|"17242914"
"mixed"|"21905237"|"17242915"
"mixed"|"21905242"|"17242919"
"not used"|"21905243"|"17242920"
"mixed"|"21905244"|"17242921"
"smectitic"|"21905245"|"17242922"
"mixed"|"21905246"|"17242923"
"mixed"|"21905258"|"17242935"
"mixed"|"21905259"|"17242936"
"not used"|"21905260"|"17242937"
"mixed"|"21905261"|"17242938"
"mixed"|"21905387"|"17243062"
"mixed"|"21905388"|"17243063"
"mixed"|"21905389"|"17243064"
"not used"|"21905390"|"17243065"
"smectitic"|"21905274"|"17242951"
"mixed"|"21905275"|"17242952"
"mixed"|"21905276"|"17242953"
"smectitic"|"21905277"|"17242954"
"smectitic"|"21905278"|"17242955"
"smectitic"|"21905286"|"17242963"
"mixed"|"21905287"|"17242964"
"mixed"|"21905288"|"17242965"
"mixed"|"21905289"|"17242966"
