"Timestamp","Station","AirTemperature","AirTemperature.1","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m.1","SoilTemperature5cm","SoilTemperature5cm.1","SoilTemperature10cm","SoilTemperature10cm.1","SolarRadiation","ETo","ETo.1"
"","","max","min","avg","total","avg","max","max","min","max","min","total","grass","alfalfa"
"","","°C","°C","%","mm","m/s","m/s","°C","°C","°C","°C","MJ/m²","mm","mm"
"2019-01-01","Manhattan",-7.5,-11.1,74.3,0,3.0,9.3,0.2,-0.4,0.8,0.4,3.4,0.48,0.72
"2019-01-02","Manhattan",4.6,-7.7,60.4,0,2.5,8.5,-0.1,-0.7,0.4,0.2,9.8,1.22,1.99
"2019-01-03","Manhattan",11.1,-7.0,63.4,0,1.2,5.0,-0.1,-0.8,0.3,0.2,9.7,1.03,1.64
"2019-01-04","Manhattan",14.2,-5.8,68.7,0,1.5,5.6,-0.1,-0.5,0.3,0.2,9.6,1.26,2.01
"2019-01-05","Manhattan",18.6,-2.8,70.1,0,0.9,4.4,-0.1,-0.1,0.4,0.3,9.7,1.14,1.80
"2019-01-06","Manhattan",16.4,0.9,66.7,0,3.6,11.5,4.0,-0.1,3.0,0.4,4.8,2.31,3.72
"2019-01-07","Manhattan",15.4,5.1,60.4,0,3.3,10.3,6.5,4.0,5.6,3.0,8.4,2.17,3.51
"2019-01-08","Manhattan",11.1,0,51.8,0,4.5,11.9,5.2,2.8,4.8,3.5,10.2,2.49,4.10
"2019-01-09","Manhattan",5.6,-4.0,53.9,0,1.9,6.5,3.4,1.3,3.6,2.2,9.6,1.24,2.00
"2019-01-10","Manhattan",9.2,-4.7,59.5,0,1.9,7.6,2.8,0.9,2.7,1.6,9.0,1.32,2.11
"2019-01-11","Manhattan",4.7,0.1,82.6,5.08,1.4,5.2,2.5,1.4,2.6,1.9,1.3,0.73,1.02
"2019-01-12","Manhattan",0.4,-1.0,93.5,0.51,4.5,9.4,2.1,1.8,2.4,2.2,3.2,0.41,0.54
"2019-01-13","Manhattan",-0.7,-2.3,89.5,0,2.6,8.7,1.8,1.8,2.2,2.1,2.6,0.43,0.56
"2019-01-14","Manhattan",0.9,-3.5,94.6,3.30,2.6,6.3,1.8,1.7,2.1,2.0,3.0,0.36,0.43
"2019-01-15","Manhattan",0.9,-1.4,97.6,8.38,2.4,5.6,1.8,1.6,2.1,2.0,3.9,0.32,0.35
"2019-01-16","Manhattan",0.2,-2.3,97.2,0,2.1,5.3,1.7,1.4,2.0,1.8,1.5,0.31,0.35
"2019-01-17","Manhattan",1.5,-1.6,93.0,1.02,1.8,5.8,2.5,1.4,2.5,1.7,2.9,0.43,0.53
"2019-01-18","Manhattan",2.5,-6.2,97.3,2.54,4.6,14.9,2.3,1.6,2.4,2.0,0.8,0.28,0.34
"2019-01-19","Manhattan",-6.2,-11.1,81.0,0,6.3,14.8,1.6,0.7,2.0,1.3,9.8,0.64,0.97
"2019-01-20","Manhattan",-0.5,-13.2,76.8,2.79,2.2,6.9,0.7,0.4,1.3,0.9,9.6,0.66,0.96
"2019-01-21","Manhattan",3.6,-8.5,79.8,0.25,3.9,11.2,0.4,0.4,1.0,0.8,5.2,0.87,1.31
"2019-01-22","Manhattan",3.8,-7.7,88.2,6.35,2.4,10.8,0.4,0.4,0.9,0.8,0.9,0.65,0.93
"2019-01-23","Manhattan",-0.5,-10.1,82.9,3.30,1.0,3.0,0.4,0.3,0.8,0.8,11.8,0.53,0.67
"2019-01-24","Manhattan",-0.7,-14.2,74.7,0,3.3,13.6,0.3,0.2,0.8,0.7,9.2,0.82,1.24
"2019-01-25","Manhattan",4.7,-16.0,78.5,0,2.4,10.8,0.2,0,0.7,0.5,8.4,0.85,1.27
"2019-01-26","Manhattan",6.9,-6.0,77.1,0,2.0,7.6,0,-0.1,0.5,0.4,10.0,0.96,1.39
"2019-01-27","Manhattan",9.4,-2.6,75.7,0,2.6,8.6,0.1,0,0.5,0.4,8.7,1.29,1.94
"2019-01-28","Manhattan",7.8,-7.7,65.4,1.02,6.7,18.8,0.2,0.1,0.5,0.4,8.2,1.89,3.00
"2019-01-29","Manhattan",-0.7,-12.6,69.9,0,3.0,9.1,0.1,-0.2,0.5,0.4,8.0,0.94,1.42
"2019-01-30","Manhattan",-12.4,-18.1,60.8,0,3.0,10.8,-0.2,-3.1,0.4,-0.7,7.6,0.50,0.74
"2019-01-31","Manhattan",4.4,-13.9,67.3,0,2.0,6.7,-0.5,-3.6,-0.3,-1.5,10.9,1.05,1.56
"2019-02-01","Manhattan",13.1,-7.9,73.7,0,1.4,6.6,-0.3,-2.3,-0.2,-1.1,12.4,1.47,2.20
"2019-02-02","Manhattan",16.4,5.3,87.7,0.25,3.2,11.7,0.2,-0.3,0,-0.2,5.1,1.33,1.93
"2019-02-03","Manhattan",20.8,12.6,75.8,0,4.6,12.2,5.3,0.2,4.0,-0.1,7.8,2.84,4.42
"2019-02-04","Manhattan",14.1,-7.7,78.5,0,4.9,12.3,5.2,1.0,4.2,1.8,11.0,2.00,3.11
"2019-02-05","Manhattan",-5.8,-8.8,83.6,0,3.1,6.3,1.0,0.3,1.8,0.8,2.8,0.46,0.64
"2019-02-06","Manhattan",-5.9,-9.0,91.4,0,3.8,9.1,0.3,0,0.8,0.5,1.9,0.35,0.47
"2019-02-07","Manhattan",-7.8,-13.6,68.6,0,5.9,13.9,0,-1.9,0.5,0.1,11.3,0.74,1.11
"2019-02-08","Manhattan",-2.0,-15.5,56.4,0.51,1.8,5.6,-0.5,-3.4,0.1,-0.9,13.8,0.96,1.40
"2019-02-09","Manhattan",3.2,-10.8,69.5,0,3.5,8.6,-0.5,-3.2,-0.3,-1.3,10.6,1.36,2.07
"2019-02-10","Manhattan",5.0,-1.3,87.4,1.52,2.4,6.4,-0.2,-0.5,-0.2,-0.3,4.0,0.83,1.15
"2019-02-11","Manhattan",1.2,-2.0,96.8,3.05,2.9,7.5,-0.1,-0.2,-0.1,-0.2,1.2,0.37,0.44
"2019-02-12","Manhattan",4.4,-3.9,76.6,0.25,3.4,9.0,-0.1,-0.2,0,-0.1,14.0,1.33,1.92
"2019-02-13","Manhattan",11.1,-4.5,69.2,0,1.9,8.5,-0.1,-0.3,0,0,10.4,1.51,2.19
"2019-02-14","Manhattan",10.2,-5.8,69.0,0,4.1,13.8,-0.1,-0.1,0.1,0,13.4,1.80,2.69
"2019-02-15","Manhattan",-5.6,-11.1,78.7,0,4.0,8.4,-0.1,-0.4,0.1,0,3.9,0.66,0.98
"2019-02-16","Manhattan",-4.3,-10.9,82.3,0,2.0,5.7,-0.2,-0.5,0.1,0,7.6,0.57,0.74
"2019-02-17","Manhattan",-3.0,-9.7,80.8,3.81,4.1,9.8,-0.2,-0.4,0.1,0,13.9,0.79,1.07
"2019-02-18","Manhattan",-3.7,-13.5,79.3,0.76,2.3,7.5,-0.3,-1.2,0.1,-0.1,12.0,0.68,0.89
"2019-02-19","Manhattan",-1.4,-9.8,82.8,0,2.6,7.8,-0.8,-1.8,-0.1,-0.5,5.3,0.64,0.87
"2019-02-20","Manhattan",2.8,-3.3,78.1,3.56,2.9,9.9,-0.3,-0.8,-0.1,-0.3,14.0,1.23,1.68
"2019-02-21","Manhattan",5.5,-10.0,73.7,0,1.9,7.7,-0.3,-0.9,-0.1,-0.3,10.7,1.26,1.79
"2019-02-22","Manhattan",4.4,-4.7,81.0,2.79,2.0,6.6,-0.2,-0.8,-0.1,-0.3,10.5,1.00,1.29
"2019-02-23","Manhattan",2.1,-2.9,96.4,17.53,4.6,15.5,-0.1,-0.2,0,-0.1,1.7,0.66,0.94
"2019-02-24","Manhattan",-2.1,-9.2,67.6,0.76,4.2,11.2,-0.1,-0.8,0,0,15.4,1.16,1.66
"2019-02-25","Manhattan",2.1,-10.7,75.8,0.25,3.8,9.4,-0.3,-2.3,0,-0.5,16.2,1.17,1.61
"2019-02-26","Manhattan",-7.1,-11.5,84.0,0,3.3,7.5,-1.1,-3.3,-0.3,-1.3,6.1,0.46,0.60
"2019-02-27","Manhattan",-6.9,-11.9,80.4,0,4.8,9.2,-1.2,-3.8,-0.9,-2.0,10.7,0.63,0.85
