"Timestamp","Station","AirTemperature","AirTemperature","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m","SoilTemperature5cm","SoilTemperature5cm","SoilTemperature10cm","SoilTemperature10cm","SolarRadiation","ETo","ETo"
"","","max","min","avg","total","avg","max","max","min","max","min","total","grass","alfalfa"
"","","°C","°C","%","mm","m/s","m/s","°C","°C","°C","°C","MJ/m²","mm","mm"
"2022-01-01","Manhattan",-4.9,-14.9,78.4,0,6.2,12.4,4.4,1.7,5.2,2.9,2.2,0.60,0.93
"2022-01-02","Manhattan",-7.2,-19.6,61.0,0,1.9,8.1,1.7,0.5,2.9,1.8,11.0,0.50,0.77
"2022-01-03","Manhattan",9.2,-14.9,63.2,5.59,1.4,6.5,1.8,0,2.4,1.2,10.9,1.11,1.81
"2022-01-04","Manhattan",8.5,-3.0,51.9,0,4.5,13.1,3.1,1.7,3.2,2.3,8.8,1.93,3.14
"2022-01-05","Manhattan",-2.9,-11.1,54.5,0,4.6,14.6,2.7,0.5,3.2,1.6,5.7,1.07,1.71
"2022-01-06","Manhattan",-9.6,-14.5,59.3,0,3.9,9.8,0.5,-0.3,1.6,0.8,10.0,0.65,1.02
"2022-01-07","Manhattan",-4.5,-12.6,61.4,0,2.8,8.0,-0.1,-0.5,0.8,0.5,9.4,0.71,1.11
"2022-01-08","Manhattan",6.0,-8.2,86.9,0,1.6,9.0,0.7,-0.4,1.1,0.5,1.5,0.71,1.02
"2022-01-09","Manhattan",1.5,-9.5,47.4,0,3.4,12.4,1.4,0.1,1.6,0.9,11.0,1.39,2.27
"2022-01-10","Manhattan",9.3,-7.9,55.0,0,1.4,5.4,2.1,-0.1,1.9,0.7,11.1,1.12,1.79
"2022-01-11","Manhattan",17.3,-3.6,48.0,0,2.4,11.2,3.3,0.3,2.8,1.1,11.1,2.45,4.10
"2022-01-12","Manhattan",13.2,-3.2,60.1,0,1.9,5.5,3.3,0.9,3.0,1.7,7.4,1.57,2.51
"2022-01-13","Manhattan",15.1,-0.2,61.2,0,1.8,7.6,4.6,1.5,4.0,2.2,11.0,1.60,2.56
"2022-01-14","Manhattan",11.5,-5.2,75.5,0.76,3.3,15.4,4.4,2.7,4.1,3.1,2.9,1.58,2.48
"2022-01-15","Manhattan",-5.1,-11.1,81.3,0,6.1,15.9,3.3,0.8,3.7,1.8,3.5,0.51,0.76
"2022-01-16","Manhattan",7.1,-12.1,73.8,0.51,2.1,7.6,1.9,0,2.0,1.0,11.5,0.99,1.51
"2022-01-17","Manhattan",12.4,-4.1,64.5,0,2.2,8.2,3.3,0.7,2.9,1.4,11.2,1.61,2.57
"2022-01-18","Manhattan",17.2,1.6,51.0,0,2.4,9.1,5.0,2.0,4.3,2.5,9.9,2.32,3.77
"2022-01-19","Manhattan",3.8,-12.4,51.2,0,6.3,12.8,3.5,0.9,3.8,1.9,5.4,1.70,2.72
"2022-01-20","Manhattan",-7.2,-15.8,55.2,0,2.0,6.9,0.9,-0.2,1.9,0.8,12.5,0.68,1.04
"2022-01-21","Manhattan",-0.1,-16.5,51.6,0,2.3,7.4,-0.1,-0.7,0.8,0.4,11.0,1.02,1.61
"2022-01-22","Manhattan",10.7,-4.0,37.4,0,2.4,7.8,1.6,-0.2,1.5,0.6,11.6,1.96,3.19
"2022-01-23","Manhattan",10.9,-0.7,55.0,0,2.4,7.7,3.6,0.6,3.0,1.2,11.9,1.59,2.47
"2022-01-24","Manhattan",12.0,-6.6,50.1,0,3.9,11.3,4.7,2.5,4.1,2.9,10.6,2.35,3.79
"2022-01-25","Manhattan",-3.7,-12.0,51.2,0,2.6,6.5,2.5,1.0,3.2,1.8,8.9,0.90,1.38
"2022-01-26","Manhattan",4.0,-8.1,37.1,0,3.3,9.6,2.2,0.6,2.2,1.4,10.2,1.80,2.89
"2022-01-27","Manhattan",8.4,-4.7,60.9,0,3.0,8.8,3.4,0.8,3.0,1.5,11.0,1.74,2.73
"2022-01-28","Manhattan",2.5,-6.3,49.4,0,2.1,8.8,3.3,1.2,3.0,1.9,9.0,1.17,1.79
"2022-01-29","Manhattan",16.0,-3.2,44.8,0,2.5,7.4,4.1,0.8,3.5,1.6,13.3,2.70,4.40
"2022-01-30","Manhattan",11.0,-4.1,47.3,0,0.9,3.7,4.2,0.9,3.6,1.7,11.9,1.19,1.76
"2022-01-31","Manhattan",20.4,-4.7,38.5,0,2.5,9.3,4.8,1.2,4.2,2.0,12.5,3.38,5.57
"2022-02-01","Manhattan",11.1,-5.6,49.1,0,4.1,12.9,4.2,2.8,4.1,3.4,5.7,2.28,3.65
"2022-02-02","Manhattan",-5.5,-11.9,59.9,0,6.1,12.0,2.9,2.1,3.5,2.6,8.3,0.97,1.50
"2022-02-03","Manhattan",-5.7,-16.2,46.8,1.52,3.2,8.6,2.1,1.2,2.6,1.9,14.0,0.97,1.48
"2022-02-04","Manhattan",4.4,-16.2,55.1,0.25,1.9,5.8,1.5,0.6,2.0,1.4,14.2,1.28,1.94
"2022-02-05","Manhattan",9.6,-10.4,49.2,0,3.4,12.7,1.8,0.6,1.9,1.4,14.4,2.22,3.51
"2022-02-06","Manhattan",11.5,-5.4,56.4,0,2.5,9.3,3.1,0.7,2.8,1.4,12.5,1.89,2.90
"2022-02-07","Manhattan",14.8,-4.7,48.0,0,2.6,8.1,3.7,0.8,3.2,1.5,12.2,2.62,4.15
"2022-02-08","Manhattan",18.3,0.2,38.8,0,3.0,10.1,4.7,1.6,4.1,2.1,12.8,3.53,5.70
"2022-02-09","Manhattan",15.4,-1.2,38.1,0,2.6,12.5,4.7,1.9,4.2,2.5,13.2,2.85,4.53
"2022-02-10","Manhattan",13.0,-2.1,48.4,0,3.5,10.3,5.3,2.3,4.7,3.0,14.3,2.53,3.94
"2022-02-11","Manhattan",12.4,-6.2,45.3,0,5.8,12.8,5.8,3.6,5.4,4.4,11.3,3.11,4.96
"2022-02-12","Manhattan",2.9,-12.7,43.7,0,3.0,11.3,4.2,1.7,4.4,2.7,15.2,1.64,2.51
"2022-02-13","Manhattan",3.1,-4.8,43.7,0,3.2,10.6,4.4,1.8,4.0,2.5,15.4,1.80,2.74
"2022-02-14","Manhattan",11.3,-5.1,41.1,0,1.8,7.7,5.2,1.6,4.5,2.4,15.6,2.03,3.06
"2022-02-15","Manhattan",21.4,-2.9,42.9,0,4.5,15.4,5.3,2.0,5.0,2.7,11.2,4.82,7.82
"2022-02-16","Manhattan",15.4,-1.1,48.0,0,5.6,15.4,7.3,5.2,6.6,5.0,12.7,3.49,5.52
"2022-02-17","Manhattan",-1.0,-8.3,33.6,0,5.2,13.7,5.2,1.8,5.7,3.0,7.7,1.93,3.05
"2022-02-18","Manhattan",12.8,-8.7,39.5,0,4.2,12.3,4.5,1.2,4.1,2.1,16.2,3.17,5.00
"2022-02-19","Manhattan",5.7,-7.9,35.2,0,3.1,9.6,4.6,1.9,4.2,2.7,16.4,2.22,3.42
"2022-02-20","Manhattan",19.7,5.3,36.9,0,4.1,12.6,7.0,3.1,6.0,3.5,16.6,4.57,7.25
"2022-02-21","Manhattan",21.0,-7.2,54.5,0,3.9,12.0,7.6,4.2,6.6,4.6,15.0,4.48,7.15
"2022-02-22","Manhattan",-7.1,-14.8,66.9,0,6.3,12.2,4.8,1.5,5.5,2.7,12.2,0.89,1.34
"2022-02-23","Manhattan",-5.6,-17.5,53.2,0,4.3,10.2,2.1,0.5,2.7,1.6,14.8,1.12,1.68
"2022-02-24","Manhattan",-7.5,-14.1,73.9,0,2.9,7.1,1.2,0.3,1.6,1.1,6.5,0.58,0.81
"2022-02-25","Manhattan",-1.8,-16.2,58.2,0.25,1.4,5.4,2.0,0,1.8,0.8,17.3,1.05,1.41
"2022-02-26","Manhattan",5.6,-14.2,50.2,0,1.1,5.3,2.7,0,2.2,0.7,17.4,1.40,1.89
"2022-02-27","Manhattan",13.4,-9.2,35.4,0,1.8,7.1,3.8,0.2,3.1,0.9,18.2,2.54,3.80
"2022-02-28","Manhattan",20.2,-3.9,25.2,0,1.6,6.1,5.7,0.9,4.6,1.7,16.7,3.17,4.81
"2022-03-01","Manhattan",25.2,1.3,27.3,0,1.8,5.7,7.3,2.4,6.0,2.9,18.0,3.88,5.92
